order_id,order_date,product,category,store,quantity,unit_price,revenue
O100000,2024-05-25,Earbuds,Audio,Central,3,49.99,149.97
O100001,2023-12-04,Webcam,Peripherals,East,1,14.99,14.99
O100002,2024-01-05,Wireless Mouse,Peripherals,West,4,19.99,79.96
O100003,2024-04-29,Webcam,Peripherals,West,2,149.99,299.98
O100004,2023-11-09,Phone Case,Accessories,East,2,14.99,29.98
O100005,2024-02-23,Earbuds,Audio,Central,4,79.99,319.96
O100006,2024-03-26,Keyboard,Peripherals,East,2,24.99,49.98
O100007,2023-05-02,Laptop Stand,Accessories,East,3,199.99,599.97
O100008,2023-01-30,Earbuds,Audio,West,2,24.99,49.98
O100009,2023-06-12,Wireless Mouse,Peripherals,West,3,199.99,599.97
O100010,2023-06-03,Phone Case,Accessories,West,2,14.99,29.98
O100011,2024-04-16,Laptop Stand,Accessories,East,3,19.99,59.97
O100012,2024-05-07,Monitor,Displays,East,2,24.99,49.98
O100013,2023-01-03,Wireless Mouse,Peripherals,West,3,199.99,599.97
O100014,2023-09-27,Laptop Stand,Accessories,East,2,149.99,299.98
O100015,2024-03-19,USB-C Cable,Accessories,Central,3,24.99,74.97
O100016,2023-03-12,Keyboard,Peripherals,East,3,149.99,449.97
O100017,2024-03-06,USB-C Cable,Accessories,East,2,79.99,159.98
O100018,2023-03-06,USB-C Cable,Accessories,Central,1,199.99,199.99
O100019,2023-09-10,Webcam,Peripherals,East,1,199.99,199.99
O100020,2024-03-16,Monitor,Displays,East,3,149.99,449.97
O100021,2023-06-13,Monitor,Displays,East,1,49.99,49.99
O100022,2023-07-04,Charger,Accessories,Central,2,24.99,49.98
O100023,2023-05-31,USB-C Cable,Accessories,East,4,49.99,199.96
O100024,2024-01-24,Monitor,Displays,West,2,149.99,299.98
O100025,2023-05-18,Phone Case,Accessories,Central,3,9.99,29.97
O100026,2024-06-18,Wireless Mouse,Peripherals,West,1,24.99,24.99
O100027,2023-08-29,Wireless Mouse,Peripherals,Central,4,49.99,199.96
O100028,2023-09-16,Charger,Accessories,Central,3,79.99,239.96999999999997
O100029,2023-09-30,USB-C Cable,Accessories,East,1,19.99,19.99
O100030,2023-11-11,Monitor,Displays,Central,2,19.99,39.98
O100031,2023-10-26,USB-C Cable,Accessories,West,4,24.99,99.96
O100032,2023-10-03,Webcam,Peripherals,East,2,79.99,159.98
O100033,2024-06-21,Laptop Stand,Accessories,East,2,24.99,49.98
O100034,2024-03-12,Wireless Mouse,Peripherals,East,1,9.99,9.99
O100035,2024-03-04,HDMI Cable,Accessories,East,4,199.99,799.96
O100036,2024-01-14,USB-C Cable,Accessories,Central,1,24.99,24.99
O100037,2023-12-02,HDMI Cable,Accessories,West,3,49.99,149.97
O100038,2023-07-04,Earbuds,Audio,East,2,24.99,49.98
O100039,2024-06-18,Wireless Mouse,Peripherals,Central,3,79.99,239.96999999999997
O100040,2023-09-09,Monitor,Displays,West,1,79.99,79.99
O100041,2023-04-27,Earbuds,Audio,West,4,14.99,59.96
O100042,2024-04-01,Keyboard,Peripherals,East,1,14.99,14.99
O100043,2023-03-28,Wireless Mouse,Peripherals,West,3,19.99,59.97
O100044,2024-04-08,Charger,Accessories,Central,2,9.99,19.98
O100045,2023-11-27,Keyboard,Peripherals,West,3,149.99,449.97
O100046,2023-03-03,Monitor,Displays,West,1,199.99,199.99
O100047,2023-01-24,HDMI Cable,Accessories,West,1,14.99,14.99
O100048,2023-08-29,Charger,Accessories,West,4,19.99,79.96
O100049,2023-01-20,Monitor,Displays,West,3,199.99,599.97
O100050,2023-03-18,Monitor,Displays,East,4,49.99,199.96
O100051,2023-10-06,Wireless Mouse,Peripherals,East,2,24.99,49.98
O100052,2024-06-07,HDMI Cable,Accessories,East,4,14.99,59.96
O100053,2023-09-09,Charger,Accessories,Central,1,24.99,24.99
O100054,2024-03-12,HDMI Cable,Accessories,East,3,24.99,74.97
O100055,2024-05-10,Keyboard,Peripherals,East,1,29.99,29.99
O100056,2024-03-20,Earbuds,Audio,West,3,49.99,149.97
O100057,2023-12-06,Webcam,Peripherals,West,2,24.99,49.98
